school_year,row_type,code,name,start_date,end_date,report_issue_date,basis
2026-27,No School for Students,,Welcome Week,2026-08-05,2026-08-07,,PISD 2026-27 District Calendar
2026-27,No School for Students,,Staff Development,2026-08-10,2026-08-17,,PISD 2026-27 District Calendar
2026-27,No School for Students,,Instructional Planning,2026-08-18,2026-08-18,,PISD 2026-27 District Calendar
2026-27,Holiday,,Labor Day,2026-09-07,2026-09-07,,PISD 2026-27 District Calendar
2026-27,No School for Students,,Staff Development,2026-09-21,2026-09-21,,PISD 2026-27 District Calendar
2026-27,Holiday for Students/Teachers,,Holiday for Students/Teachers,2026-10-09,2026-10-09,,PISD 2026-27 District Calendar
2026-27,No School for Students,,Staff Development,2026-10-12,2026-10-12,,PISD 2026-27 District Calendar
2026-27,No School for Students,,Staff Development,2026-11-09,2026-11-09,,PISD 2026-27 District Calendar
2026-27,Holiday,,Thanksgiving Break,2026-11-23,2026-11-27,,PISD 2026-27 District Calendar
2026-27,Holiday,,Christmas Break,2026-12-21,2027-01-01,,PISD 2026-27 District Calendar
2026-27,No School for Students,,Instructional Planning,2027-01-04,2027-01-04,,PISD 2026-27 District Calendar
2026-27,No School for Students,,Staff Development,2027-01-05,2027-01-05,,PISD 2026-27 District Calendar
2026-27,Holiday,,MLK Jr. Day,2027-01-18,2027-01-18,,PISD 2026-27 District Calendar
2026-27,No School for Students,,Staff Development,2027-02-15,2027-02-15,,PISD 2026-27 District Calendar
2026-27,Holiday,,Spring Break,2027-03-08,2027-03-12,,PISD 2026-27 District Calendar
2026-27,Holiday,,Easter Break,2027-03-26,2027-03-29,,PISD 2026-27 District Calendar
2026-27,No School for Students,,Instructional Planning,2027-05-28,2027-05-28,,PISD 2026-27 District Calendar
2026-27,Holiday,,Memorial Day,2027-05-31,2027-05-31,,PISD 2026-27 District Calendar
2026-27,Academic Period,T1,1st Grading Period,2026-08-19,2026-10-08,2026-10-15,PISD 2026-27 District Calendar
2026-27,Academic Period,T2,2nd Grading Period,2026-10-13,2026-12-18,2027-01-06,PISD 2026-27 District Calendar
2026-27,Academic Period,T3,3rd Grading Period,2027-01-06,2027-03-19,2027-03-24,PISD 2026-27 District Calendar
2026-27,Academic Period,T4,4th Grading Period,2027-03-22,2027-05-27,2027-06-04,PISD 2026-27 District Calendar
