school_year,row_type,code,name,start_date,end_date,report_issue_date,basis
YYYY-YY,Academic Period,T1,Term 1 / Report Card 1,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,
YYYY-YY,Academic Period,T2,Term 2 / Report Card 2,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,
YYYY-YY,Academic Period,T3,Term 3 / Report Card 3,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,
YYYY-YY,Academic Period,T4,Term 4 / Report Card 4,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,
YYYY-YY,Holiday,,Labor Day,YYYY-MM-DD,YYYY-MM-DD,,
YYYY-YY,Holiday,,Thanksgiving Break,YYYY-MM-DD,YYYY-MM-DD,,
YYYY-YY,Holiday,,Winter Break,YYYY-MM-DD,YYYY-MM-DD,,
YYYY-YY,Holiday,,MLK Jr. Day,YYYY-MM-DD,YYYY-MM-DD,,
YYYY-YY,Holiday,,Spring Break,YYYY-MM-DD,YYYY-MM-DD,,
YYYY-YY,Holiday,,Memorial Day,YYYY-MM-DD,YYYY-MM-DD,,
